"type","dep","i-dep","fan-in","fan-out"
"io.kubernetes.client.openapi.models.V1Secret",28,3,3,14
"io.kubernetes.client.openapi.models.V1CSIStorageCapacity",29,4,2,13
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerStatus",30,3,1,11
"io.kubernetes.client.openapi.models.V1PolicyRule",27,1,2,10
"io.kubernetes.client.openapi.models.V1DeleteOptions",28,2,28,11
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionNames",27,1,2,10
"io.kubernetes.client.openapi.models.V1PriorityClass",27,2,2,11
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule",27,1,1,10
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule",27,1,1,10
"io.kubernetes.client.openapi.models.V1ObjectReference",26,1,9,9
"io.kubernetes.client.openapi.models.V1ResourceAttributes",26,1,2,9
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionSpec",30,4,1,12
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec",29,3,2,13
"io.kubernetes.client.openapi.models.V1APIServiceSpec",27,2,1,10
"io.kubernetes.client.openapi.models.V1ContainerStateTerminated",27,1,1,9
"io.kubernetes.client.openapi.models.V1ManagedFieldsEntry",27,1,1,9
"io.kubernetes.client.openapi.models.V1CephFSPersistentVolumeSource",28,2,1,11
"io.kubernetes.client.openapi.models.V1CephFSVolumeSource",28,2,1,11
"io.kubernetes.client.openapi.models.V1StatusDetails",28,2,1,10
"io.kubernetes.client.openapi.models.V1alpha1MatchResources",29,3,2,11
"io.kubernetes.client.openapi.models.V1beta1MatchResources",29,3,2,11
"io.kubernetes.client.openapi.models.V2MetricSpec",31,6,1,14
"io.kubernetes.client.openapi.models.V2MetricStatus",31,6,1,14
"io.kubernetes.client.openapi.models.V1RuleWithOperations",27,1,2,10
"io.kubernetes.client.openapi.models.V1ReplicaSetStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1ReplicationControllerStatus",28,2,1,10
"io.kubernetes.client.openapi.models.V1alpha2ResourceClass",29,4,2,13
"io.kubernetes.client.openapi.models.V1RuntimeClass",29,4,2,13
"io.kubernetes.client.openapi.models.V1ConfigMap",27,2,2,13
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec",30,4,1,13
"io.kubernetes.client.openapi.models.V1Condition",27,1,4,9
"io.kubernetes.client.openapi.models.V1CustomResourceColumnDefinition",26,1,1,9
"io.kubernetes.client.openapi.models.V1HTTPGetAction",29,3,2,11
"io.kubernetes.client.openapi.models.V1AzureDiskVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1QuobyteVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1VolumeMount",26,1,2,9
"io.kubernetes.client.openapi.models.V1ClusterRoleBinding",30,4,2,13
"io.kubernetes.client.openapi.models.V1RoleBinding",30,4,2,13
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1OwnerReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1DeploymentCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1JobCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1NodeCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1PodCondition",27,1,1,9
"io.kubernetes.client.openapi.models.V1ServicePort",27,2,1,10
"io.kubernetes.client.openapi.models.V1ClusterRole",30,4,2,13
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerSpec",30,4,1,12
"io.kubernetes.client.openapi.models.V1ResourceRule",27,1,1,10
"io.kubernetes.client.openapi.models.V1IngressSpec",30,4,1,12
"io.kubernetes.client.openapi.apis.AuthenticationV1alpha1Api",18,10,0,12
"io.kubernetes.client.openapi.apis.AuthenticationV1beta1Api",18,10,0,12
"io.kubernetes.client.openapi.models.V1beta2PolicyRulesWithSubjects",30,4,1,12
"io.kubernetes.client.openapi.models.V1beta3PolicyRulesWithSubjects",30,4,1,12
"io.kubernetes.client.openapi.models.V1SubjectRulesReviewStatus",29,3,1,11
"io.kubernetes.client.openapi.models.V1FCVolumeSource",27,1,2,10
"io.kubernetes.client.openapi.models.V1CSIVolumeSource",27,2,1,11
"io.kubernetes.client.openapi.models.V1FlexPersistentVolumeSource",27,2,1,11
"io.kubernetes.client.openapi.models.V1FlexVolumeSource",27,2,1,11
"io.kubernetes.client.openapi.models.V1APIVersions",28,2,1,11
"io.kubernetes.client.openapi.models.V1EndpointSubset",29,3,1,11
"io.kubernetes.client.openapi.models.V1ConfigMapNodeConfigSource",26,1,1,9
"io.kubernetes.client.openapi.models.AuthenticationV1TokenRequest",29,4,1,13
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContext",29,4,2,13
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaim",29,4,2,13
"io.kubernetes.client.openapi.models.V1CertificateSigningRequest",29,4,2,13
"io.kubernetes.client.openapi.models.V1CustomResourceDefinition",29,4,2,13
"io.kubernetes.client.openapi.models.V1IngressClassParametersReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1LocalSubjectAccessReview",29,4,1,13
"io.kubernetes.client.openapi.models.V1SelfSubjectAccessReview",29,4,1,13
