"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"MLOC",4.0,13.0,10.300924410994764,7.0,0.0,226.0,226.0,12.59578013288321,26.5,30.0
"CYCLO",1.0,1.0,1.7899214659685865,1.0,1.0,100.0,99.0,2.9370650831625653,1.0,4.0
"CALLS",0.0,2.0,2.805505562827225,0.0,0.0,565.0,565.0,8.727191146294578,5.0,5.0
"NBD",0.0,0.0,0.19289921465968587,0.0,0.0,4.0,4.0,0.47155193569979176,0.0,3.0
"PARAM",0.0,1.0,1.584833115183246,1.0,0.0,16.0,16.0,2.6599983647896632,2.5,4.0
